track,model,split,threshold,accuracy,precision,recall,f1,roc_auc,pr_auc,fpr,fnr,tn,fp,fn,tp,n_rows,training_time_seconds,test_inference_time_seconds,threshold_policy,recall_target,train_fraction,repeat,train_rows_used,feature_state_time_seconds,kernel_matrix_time_seconds
phase5_label_scarcity,quantum_kernel_svc_statevector,test,-1.0002043620331442,0.18722388059701492,0.005072181037846274,0.832,0.01008289301468806,0.5319,0.0073042550296227105,0.816,0.168,18400.0,81600.0,84.0,416.0,1000,0.0036785829997825203,0.001737499998853309,recall_target_precision_max,0.8,0.1,2,160,0.2521017839990236,0.005090814000141108
phase5_label_scarcity,reduced_logistic_regression,test,0.004851245551993609,0.132,0.005315629776652294,0.932,0.010570968400517206,0.5211279999999999,0.007017376544919209,0.872,0.068,12800.0,87200.0,34.0,466.0,1000,1.4128636920013378,0.0003370020003785612,recall_target_precision_max,0.8,0.25,0,400,,
phase5_label_scarcity,reduced_svm_rbf,test,0.48570234806902707,0.05259701492537314,0.005079112931881362,0.972,0.010105420747302103,0.505204,0.007126142239681435,0.952,0.028,4800.0,95200.0,14.0,486.0,1000,0.028134841999417404,0.01437300699944899,recall_target_precision_max,0.8,0.25,0,400,,
phase5_label_scarcity,reduced_mlp,test,0.4787177092587582,0.20667661691542288,0.004639181703367471,0.742,0.009220713051906897,0.46543599999999996,0.004434816792567612,0.796,0.258,20400.0,79600.0,129.0,371.0,1000,0.04486394699961238,0.00041902300108631607,recall_target_precision_max,0.8,0.25,0,400,,
phase5_label_scarcity,quantum_kernel_svc_statevector,test,-1.0002672229656557,0.1634228855721393,0.0050222685492277075,0.848,0.009985398709434318,0.509144,0.006858779829123343,0.84,0.152,16000.0,84000.0,76.0,424.0,1000,0.008311457999298,0.0034288079987163655,recall_target_precision_max,0.8,0.25,0,400,0.2762216669998452,0.017929338000612915
phase5_label_scarcity,reduced_logistic_regression,test,0.0040345716129580305,0.1120497512437811,0.00514158887364629,0.922,0.010226150996550614,0.505616,0.006785160412884422,0.892,0.078,10800.0,89200.0,39.0,461.0,1000,0.012663973000599071,0.0005027910010539927,recall_target_precision_max,0.8,0.25,1,400,,
phase5_label_scarcity,reduced_svm_rbf,test,0.49787117634419903,0.02683582089552239,0.00505610547626072,0.994,0.010061034241930424,0.5067539999999999,0.005014041707939265,0.978,0.006,2200.0,97800.0,3.0,497.0,1000,0.028236624999408377,0.014828274001047248,recall_target_precision_max,0.8,0.25,1,400,,
phase5_label_scarcity,reduced_mlp,test,0.43643530825949567,0.08029850746268656,0.005060837730160439,0.94,0.010067473492556496,0.5389360000000001,0.005581186696855964,0.924,0.06,7600.0,92400.0,30.0,470.0,1000,0.09434378500009188,0.0004040340008941712,recall_target_precision_max,0.8,0.25,1,400,,
phase5_label_scarcity,quantum_kernel_svc_statevector,test,-1.0002698050201813,0.1278905472636816,0.00514462880310722,0.906,0.010231160999627342,0.5245040000000001,0.007020202638189088,0.876,0.094,12400.0,87600.0,47.0,453.0,1000,0.00810211300085939,0.0034365349984000204,recall_target_precision_max,0.8,0.25,1,400,0.2676808739997796,0.017057353999916813
phase5_label_scarcity,reduced_logistic_regression,test,0.0038622769333548305,0.11005970149253731,0.005130145446856812,0.922,0.01020351700401722,0.50532,0.008760710130901307,0.894,0.078,10600.0,89400.0,39.0,461.0,1000,0.03309373299998697,0.0003074060005019419,recall_target_precision_max,0.8,0.25,2,400,,
