model_group,purpose,i,j,circuit_index,depth_transpiled,size_transpiled,ops_transpiled
kernel_svc,test_kernel,2,5,180,5,20,"{'rz': 8, 'sx': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,test_kernel,2,6,181,5,20,"{'rz': 8, 'sx': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,test_kernel,2,7,182,5,20,"{'rz': 8, 'sx': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,test_kernel,2,8,183,5,20,"{'sx': 8, 'rz': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,test_kernel,2,9,184,5,20,"{'rz': 8, 'sx': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,test_kernel,3,0,185,5,20,"{'rz': 8, 'sx': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,test_kernel,3,1,186,5,20,"{'rz': 8, 'sx': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,test_kernel,3,2,187,5,20,"{'rz': 8, 'sx': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,test_kernel,3,3,188,5,20,"{'rz': 8, 'sx': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,test_kernel,3,4,189,5,20,"{'rz': 8, 'sx': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,test_kernel,3,5,190,5,20,"{'sx': 8, 'rz': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,test_kernel,3,6,191,5,20,"{'rz': 8, 'sx': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,test_kernel,3,7,192,5,20,"{'rz': 8, 'sx': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,test_kernel,3,8,193,5,20,"{'sx': 8, 'rz': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,test_kernel,3,9,194,5,20,"{'sx': 8, 'rz': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,test_kernel,4,0,195,5,20,"{'rz': 8, 'sx': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,test_kernel,4,1,196,5,20,"{'sx': 8, 'rz': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,test_kernel,4,2,197,5,20,"{'sx': 8, 'rz': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,test_kernel,4,3,198,5,20,"{'rz': 8, 'sx': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,test_kernel,4,4,199,5,20,"{'sx': 8, 'rz': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,test_kernel,4,5,200,5,20,"{'sx': 8, 'rz': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,test_kernel,4,6,201,5,20,"{'sx': 8, 'rz': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,test_kernel,4,7,202,5,20,"{'sx': 8, 'rz': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,test_kernel,4,8,203,5,20,"{'sx': 8, 'rz': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,test_kernel,4,9,204,5,20,"{'sx': 8, 'rz': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,test_kernel,5,0,205,5,20,"{'rz': 8, 'sx': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,test_kernel,5,1,206,5,20,"{'rz': 8, 'sx': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,test_kernel,5,2,207,5,20,"{'rz': 8, 'sx': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,test_kernel,5,3,208,5,20,"{'rz': 8, 'sx': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,test_kernel,5,4,209,5,20,"{'rz': 8, 'sx': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,test_kernel,5,5,210,5,20,"{'sx': 8, 'rz': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,test_kernel,5,6,211,5,20,"{'rz': 8, 'sx': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,test_kernel,5,7,212,5,20,"{'rz': 8, 'sx': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,test_kernel,5,8,213,5,20,"{'sx': 8, 'rz': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,test_kernel,5,9,214,5,20,"{'sx': 8, 'rz': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,test_kernel,6,0,215,5,20,"{'sx': 8, 'rz': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,test_kernel,6,1,216,5,20,"{'sx': 8, 'rz': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,test_kernel,6,2,217,5,20,"{'sx': 8, 'rz': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,test_kernel,6,3,218,5,20,"{'rz': 8, 'sx': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,test_kernel,6,4,219,5,20,"{'sx': 8, 'rz': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,test_kernel,6,5,220,5,20,"{'sx': 8, 'rz': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,test_kernel,6,6,221,5,20,"{'sx': 8, 'rz': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,test_kernel,6,7,222,5,20,"{'sx': 8, 'rz': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,test_kernel,6,8,223,5,20,"{'sx': 8, 'rz': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,test_kernel,6,9,224,5,20,"{'sx': 8, 'rz': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,test_kernel,7,0,225,5,20,"{'rz': 8, 'sx': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,test_kernel,7,1,226,5,20,"{'rz': 8, 'sx': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,test_kernel,7,2,227,5,20,"{'sx': 8, 'rz': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,test_kernel,7,3,228,5,20,"{'rz': 8, 'sx': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,test_kernel,7,4,229,5,20,"{'sx': 8, 'rz': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,test_kernel,7,5,230,5,20,"{'sx': 8, 'rz': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,test_kernel,7,6,231,5,20,"{'sx': 8, 'rz': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,test_kernel,7,7,232,5,20,"{'rz': 8, 'sx': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,test_kernel,7,8,233,5,20,"{'sx': 8, 'rz': 8, 'measure': 4, 'barrier': 1}"
kernel_svc,test_kernel,7,9,234,5,20,"{'sx': 8, 'rz': 8, 'measure': 4, 'barrier': 1}"
