model_group,purpose,i,j,circuit_index,counts_json,shots_observed
kernel_svc,valid_kernel,6,7,122,"{""0001"": 26, ""0000"": 223, ""0100"": 1, ""0101"": 1, ""0010"": 4, ""1000"": 1}",256
kernel_svc,valid_kernel,6,8,123,"{""0000"": 232, ""0100"": 2, ""1000"": 8, ""0001"": 11, ""0010"": 1, ""1001"": 1, ""0011"": 1}",256
kernel_svc,valid_kernel,6,9,124,"{""0000"": 240, ""0001"": 11, ""0101"": 2, ""1000"": 2, ""0010"": 1}",256
kernel_svc,valid_kernel,7,0,125,"{""0000"": 188, ""0001"": 21, ""1000"": 40, ""1001"": 5, ""0100"": 2}",256
kernel_svc,valid_kernel,7,1,126,"{""0000"": 225, ""0100"": 6, ""0001"": 16, ""1000"": 4, ""0011"": 1, ""0010"": 2, ""1001"": 1, ""0110"": 1}",256
kernel_svc,valid_kernel,7,2,127,"{""0000"": 231, ""1000"": 4, ""0001"": 18, ""0100"": 2, ""1001"": 1}",256
kernel_svc,valid_kernel,7,3,128,"{""0001"": 24, ""0000"": 206, ""1000"": 22, ""1001"": 2, ""0010"": 1, ""0100"": 1}",256
kernel_svc,valid_kernel,7,4,129,"{""0000"": 233, ""0001"": 17, ""1000"": 5, ""0100"": 1}",256
kernel_svc,valid_kernel,7,5,130,"{""0000"": 196, ""1000"": 40, ""0001"": 13, ""0100"": 3, ""1001"": 3, ""0010"": 1}",256
kernel_svc,valid_kernel,7,6,131,"{""0000"": 239, ""0001"": 17}",256
kernel_svc,valid_kernel,7,7,132,"{""0000"": 179, ""1000"": 51, ""0100"": 6, ""0001"": 16, ""1100"": 2, ""0101"": 1, ""1001"": 1}",256
kernel_svc,valid_kernel,7,8,133,"{""0000"": 169, ""1001"": 5, ""1000"": 66, ""0100"": 1, ""0001"": 13, ""1100"": 2}",256
kernel_svc,valid_kernel,7,9,134,"{""0000"": 212, ""1000"": 22, ""0001"": 16, ""1001"": 4, ""0100"": 2}",256
kernel_svc,valid_kernel,8,0,135,"{""0001"": 13, ""0000"": 232, ""1000"": 7, ""1001"": 1, ""0010"": 1, ""0100"": 2}",256
kernel_svc,valid_kernel,8,1,136,"{""0000"": 226, ""0001"": 15, ""0100"": 9, ""1000"": 5, ""0010"": 1}",256
kernel_svc,valid_kernel,8,2,137,"{""0000"": 195, ""0001"": 19, ""1000"": 37, ""0100"": 3, ""1001"": 2}",256
kernel_svc,valid_kernel,8,3,138,"{""0000"": 238, ""0001"": 17, ""1000"": 1}",256
kernel_svc,valid_kernel,8,4,139,"{""0000"": 215, ""1001"": 2, ""0001"": 17, ""1000"": 19, ""0100"": 3}",256
kernel_svc,valid_kernel,8,5,140,"{""0000"": 211, ""0010"": 4, ""0001"": 33, ""1000"": 4, ""1001"": 3, ""0011"": 1}",256
kernel_svc,valid_kernel,8,6,141,"{""0000"": 214, ""1001"": 4, ""0001"": 22, ""1000"": 12, ""0010"": 2, ""0100"": 2}",256
kernel_svc,valid_kernel,8,7,142,"{""0001"": 21, ""0000"": 219, ""1000"": 12, ""1001"": 2, ""0010"": 1, ""0100"": 1}",256
kernel_svc,valid_kernel,8,8,143,"{""0000"": 208, ""0010"": 3, ""0001"": 23, ""1000"": 19, ""0100"": 2, ""1001"": 1}",256
kernel_svc,valid_kernel,8,9,144,"{""0000"": 212, ""0001"": 35, ""1000"": 5, ""0010"": 3, ""0100"": 1}",256
kernel_svc,valid_kernel,9,0,145,"{""1000"": 30, ""0000"": 195, ""0001"": 21, ""0100"": 6, ""1001"": 3, ""0101"": 1}",256
kernel_svc,valid_kernel,9,1,146,"{""0000"": 220, ""0001"": 21, ""1000"": 8, ""0100"": 5, ""1010"": 1, ""0101"": 1}",256
kernel_svc,valid_kernel,9,2,147,"{""0000"": 239, ""0001"": 12, ""1000"": 4, ""0100"": 1}",256
kernel_svc,valid_kernel,9,3,148,"{""0000"": 222, ""0001"": 18, ""1001"": 1, ""1000"": 12, ""0100"": 1, ""0011"": 1, ""0010"": 1}",256
kernel_svc,valid_kernel,9,4,149,"{""0000"": 233, ""0001"": 20, ""1000"": 3}",256
kernel_svc,valid_kernel,9,5,150,"{""0000"": 189, ""1000"": 48, ""0001"": 13, ""1001"": 5, ""0010"": 1}",256
kernel_svc,valid_kernel,9,6,151,"{""0000"": 234, ""0001"": 19, ""1000"": 3}",256
kernel_svc,valid_kernel,9,7,152,"{""0000"": 178, ""1000"": 56, ""0001"": 14, ""1001"": 3, ""0100"": 4, ""1010"": 1}",256
kernel_svc,valid_kernel,9,8,153,"{""0000"": 178, ""1000"": 52, ""0001"": 19, ""0100"": 1, ""0010"": 1, ""1001"": 5}",256
kernel_svc,valid_kernel,9,9,154,"{""0001"": 21, ""0000"": 203, ""1000"": 27, ""1001"": 4, ""0010"": 1}",256
kernel_svc,test_kernel,0,0,155,"{""0001"": 26, ""0000"": 223, ""1000"": 7}",256
kernel_svc,test_kernel,0,1,156,"{""0000"": 225, ""0001"": 15, ""0100"": 12, ""1000"": 4}",256
kernel_svc,test_kernel,0,2,157,"{""0001"": 24, ""0000"": 203, ""0100"": 4, ""1000"": 22, ""0010"": 2, ""1001"": 1}",256
kernel_svc,test_kernel,0,3,158,"{""0000"": 239, ""0001"": 15, ""1000"": 1, ""0100"": 1}",256
kernel_svc,test_kernel,0,4,159,"{""0000"": 219, ""0011"": 1, ""0001"": 23, ""1001"": 2, ""0010"": 3, ""1000"": 6, ""0100"": 2}",256
kernel_svc,test_kernel,0,5,160,"{""0000"": 220, ""0001"": 28, ""1000"": 5, ""1001"": 1, ""0100"": 1, ""0010"": 1}",256
