sample_index,label,counts_json,shots_observed
61,1,"{""0011"": 679, ""0010"": 9, ""1110"": 8, ""1011"": 175, ""1100"": 19, ""1111"": 45, ""0001"": 15, ""0111"": 18, ""0110"": 13, ""1001"": 28, ""1101"": 8, ""0100"": 5, ""1000"": 1, ""0000"": 1}",1024
62,1,"{""1111"": 49, ""1011"": 691, ""0011"": 144, ""0101"": 6, ""1110"": 25, ""0111"": 38, ""0100"": 9, ""0010"": 3, ""0110"": 9, ""1101"": 5, ""1000"": 1, ""1001"": 15, ""1100"": 4, ""0001"": 15, ""0000"": 4, ""1010"": 6}",1024
63,0,"{""0011"": 346, ""1011"": 483, ""0010"": 3, ""0000"": 3, ""1001"": 19, ""0001"": 18, ""1100"": 7, ""0111"": 40, ""1110"": 15, ""1111"": 48, ""0110"": 16, ""0100"": 14, ""0101"": 3, ""1010"": 6, ""1101"": 3}",1024
64,0,"{""1111"": 46, ""1011"": 725, ""1110"": 23, ""0011"": 114, ""0111"": 42, ""0001"": 21, ""0110"": 10, ""0101"": 10, ""0100"": 12, ""1101"": 3, ""1001"": 9, ""0010"": 3, ""1010"": 3, ""1100"": 2, ""1000"": 1}",1024
65,0,"{""1011"": 799, ""0011"": 43, ""1000"": 4, ""1111"": 22, ""1101"": 7, ""0101"": 7, ""0000"": 4, ""0001"": 27, ""0111"": 49, ""1110"": 29, ""0010"": 2, ""1100"": 5, ""1001"": 10, ""0100"": 10, ""1010"": 6}",1024
66,0,"{""1011"": 749, ""1110"": 19, ""0101"": 7, ""1111"": 37, ""0011"": 82, ""1010"": 10, ""0111"": 45, ""0001"": 20, ""1100"": 3, ""0100"": 23, ""1001"": 9, ""0000"": 8, ""1000"": 1, ""0110"": 4, ""1101"": 3, ""0010"": 4}",1024
67,0,"{""1011"": 437, ""0011"": 410, ""0111"": 38, ""0010"": 8, ""1001"": 17, ""1111"": 36, ""1100"": 8, ""1010"": 6, ""0100"": 8, ""0001"": 22, ""1000"": 3, ""1110"": 10, ""1101"": 7, ""0101"": 2, ""0110"": 10, ""0000"": 2}",1024
68,0,"{""1011"": 761, ""0011"": 78, ""1000"": 7, ""1110"": 24, ""0100"": 19, ""0111"": 49, ""1001"": 15, ""0101"": 5, ""0110"": 10, ""1111"": 22, ""0001"": 20, ""1010"": 5, ""1101"": 4, ""1100"": 4, ""0000"": 1}",1024
69,0,"{""1011"": 255, ""0011"": 611, ""0010"": 6, ""1010"": 4, ""1100"": 9, ""1111"": 48, ""0110"": 9, ""0111"": 22, ""1101"": 8, ""1001"": 20, ""1000"": 2, ""1110"": 9, ""0000"": 1, ""0001"": 12, ""0100"": 7, ""0101"": 1}",1024
70,0,"{""1111"": 41, ""0011"": 271, ""1011"": 588, ""0001"": 17, ""1001"": 16, ""1100"": 7, ""0111"": 18, ""1110"": 20, ""1000"": 3, ""0110"": 11, ""1010"": 9, ""1101"": 1, ""0000"": 1, ""0100"": 12, ""0010"": 4, ""0101"": 5}",1024
71,1,"{""1011"": 737, ""1111"": 36, ""0111"": 50, ""0011"": 93, ""0101"": 4, ""0100"": 29, ""1001"": 7, ""0001"": 15, ""0000"": 3, ""1000"": 2, ""1110"": 23, ""1010"": 10, ""1100"": 5, ""0110"": 3, ""1101"": 4, ""0010"": 3}",1024
72,1,"{""1011"": 805, ""1111"": 33, ""0100"": 14, ""0001"": 18, ""0111"": 53, ""0101"": 1, ""1010"": 8, ""0011"": 38, ""0010"": 3, ""1000"": 4, ""0110"": 3, ""1001"": 14, ""1100"": 7, ""1110"": 21, ""0000"": 1, ""1101"": 1}",1024
73,1,"{""1011"": 765, ""0100"": 18, ""1010"": 10, ""0011"": 72, ""0111"": 48, ""1101"": 6, ""1001"": 16, ""1110"": 22, ""0110"": 12, ""1111"": 26, ""0001"": 13, ""0101"": 5, ""1100"": 1, ""0010"": 6, ""1000"": 2, ""0000"": 2}",1024
74,1,"{""1110"": 14, ""1011"": 770, ""1111"": 21, ""0011"": 103, ""0001"": 15, ""1100"": 9, ""0111"": 42, ""0100"": 12, ""1010"": 4, ""1101"": 3, ""0101"": 6, ""1001"": 15, ""0110"": 7, ""0000"": 1, ""0010"": 2}",1024
75,0,"{""1011"": 477, ""0011"": 397, ""1111"": 17, ""0111"": 32, ""1010"": 5, ""0110"": 15, ""0100"": 9, ""1110"": 18, ""0001"": 14, ""1000"": 2, ""1100"": 12, ""1001"": 16, ""0000"": 2, ""0010"": 4, ""1101"": 3, ""0101"": 1}",1024
76,1,"{""1011"": 752, ""1111"": 23, ""0011"": 104, ""1110"": 20, ""0111"": 41, ""0110"": 6, ""1010"": 9, ""1001"": 14, ""0001"": 21, ""0100"": 17, ""1100"": 5, ""1000"": 1, ""0010"": 5, ""1101"": 4, ""0000"": 1, ""0101"": 1}",1024
77,1,"{""1011"": 793, ""0111"": 53, ""0100"": 9, ""0011"": 63, ""0001"": 13, ""1110"": 31, ""1101"": 5, ""1111"": 27, ""1000"": 2, ""1001"": 5, ""0101"": 5, ""1010"": 8, ""0000"": 3, ""0110"": 4, ""0010"": 2, ""1100"": 1}",1024
78,0,"{""1011"": 803, ""0001"": 21, ""0011"": 25, ""0110"": 5, ""0111"": 53, ""1111"": 25, ""1110"": 30, ""0101"": 6, ""0100"": 21, ""1010"": 10, ""1101"": 1, ""1001"": 12, ""1100"": 6, ""0010"": 4, ""1000"": 2}",1024
79,0,"{""0011"": 513, ""1011"": 324, ""0110"": 15, ""1001"": 20, ""1111"": 36, ""1101"": 6, ""0111"": 38, ""0001"": 21, ""1000"": 3, ""0101"": 4, ""0010"": 5, ""0000"": 4, ""1100"": 12, ""0100"": 12, ""1110"": 8, ""1010"": 3}",1024
